index	name	kind
0	Boolean	SCALAR
1	String	SCALAR
2	QueryRoot	OBJECT
3	Job	OBJECT
4	ID	SCALAR
5	Node	INTERFACE
6	App	OBJECT
7	URL	SCALAR
8	Image	OBJECT
9	HasMetafields	INTERFACE
10	Metafield	OBJECT
11	LegacyInteroperability	INTERFACE
12	UnsignedInt64	SCALAR
13	MetafieldValueType	ENUM
14	MetafieldOwnerType	ENUM
15	MetafieldConnection	OBJECT
16	PageInfo	OBJECT
17	MetafieldEdge	OBJECT
18	Int	SCALAR
19	PrivateMetafield	OBJECT
20	PrivateMetafieldValueType	ENUM
21	PrivateMetafieldConnection	OBJECT
22	PrivateMetafieldEdge	OBJECT
23	CropRegion	ENUM
24	ImageContentType	ENUM
25	NavigationItem	OBJECT
26	FailedRequirement	OBJECT
27	AppFeedback	OBJECT
28	UserError	OBJECT
29	DisplayableError	INTERFACE
30	Link	OBJECT
31	HasPublishedTranslations	INTERFACE
32	PublishedTranslation	OBJECT
33	AppInstallation	OBJECT
34	AccessScope	OBJECT
35	DateTime	SCALAR
36	Channel	OBJECT
37	ResourcePublicationConnection	OBJECT
38	ResourcePublicationEdge	OBJECT
39	ResourcePublication	OBJECT
40	Publication	OBJECT
41	CollectionConnection	OBJECT
42	CollectionEdge	OBJECT
43	Collection	OBJECT
44	Publishable	INTERFACE
45	ChannelConnection	OBJECT
46	ChannelEdge	OBJECT
47	PublicationConnection	OBJECT
48	PublicationEdge	OBJECT
49	StorefrontID	SCALAR
50	HTML	SCALAR
51	SEO	OBJECT
52	CollectionSortOrder	ENUM
53	ResourceFeedback	OBJECT
54	ProductConnection	OBJECT
55	ProductEdge	OBJECT
56	Product	OBJECT
57	Navigable	INTERFACE
58	OnlineStorePreviewable	INTERFACE
59	ProductPriceRange	OBJECT
60	MoneyV2	OBJECT
61	Decimal	SCALAR
62	CurrencyCode	ENUM
63	ImageConnection	OBJECT
64	ImageEdge	OBJECT
65	ProductImageSortKeys	ENUM
66	ProductPublicationConnection	OBJECT
67	ProductPublicationEdge	OBJECT
68	ProductPublication	OBJECT
69	CollectionSortKeys	ENUM
70	ProductOption	OBJECT
71	ProductVariantConnection	OBJECT
72	ProductVariantEdge	OBJECT
73	ProductVariant	OBJECT
74	Money	SCALAR
75	FulfillmentService	OBJECT
76	FulfillmentServiceType	ENUM
77	ShippingMethod	OBJECT
78	Location	OBJECT
79	LocationAddress	OBJECT
80	Float	SCALAR
81	LocationSuggestedAddress	OBJECT
82	CountryCode	ENUM
83	InventoryLevelConnection	OBJECT
84	InventoryLevelEdge	OBJECT
85	InventoryLevel	OBJECT
86	InventoryItem	OBJECT
87	EditableProperty	OBJECT
88	FormattedString	SCALAR
89	CountryHarmonizedSystemCodeConnection	OBJECT
90	CountryHarmonizedSystemCodeEdge	OBJECT
91	CountryHarmonizedSystemCode	OBJECT
92	PosLinkLayout	ENUM
93	ProductVariantInventoryManagement	ENUM
94	ProductVariantInventoryPolicy	ENUM
95	SelectedOption	OBJECT
96	ProductVariantPricePairConnection	OBJECT
97	ProductVariantPricePairEdge	OBJECT
98	ProductVariantPricePair	OBJECT
99	WeightUnit	ENUM
100	DeliveryProfile	OBJECT
101	DeliveryProfileItemConnection	OBJECT
102	DeliveryProfileItemEdge	OBJECT
103	DeliveryProfileItem	OBJECT
104	ProductVariantSortKeys	ENUM
105	ProfileItemSortKeys	ENUM
106	DeliveryProfileLocationGroup	OBJECT
107	DeliveryLocationGroup	OBJECT
108	LocationConnection	OBJECT
109	LocationEdge	OBJECT
110	LocationSortKeys	ENUM
111	DeliveryLocationGroupZoneConnection	OBJECT
112	DeliveryLocationGroupZoneEdge	OBJECT
113	DeliveryLocationGroupZone	OBJECT
114	DeliveryZone	OBJECT
115	DeliveryCountry	OBJECT
116	DeliveryCountryCodeOrRestOfWorld	OBJECT
117	DeliveryProvince	OBJECT
118	DeliveryMethodDefinitionConnection	OBJECT
119	DeliveryMethodDefinitionEdge	OBJECT
120	DeliveryMethodDefinition	OBJECT
121	DeliveryRateProvider	UNION
122	DeliveryRateDefinition	OBJECT
123	DeliveryParticipant	OBJECT
124	DeliveryCarrierService	OBJECT
125	DeliveryAvailableService	OBJECT
126	DeliveryCountryCodesOrRestOfWorld	OBJECT
127	DeliveryParticipantService	OBJECT
128	DeliveryCondition	OBJECT
129	DeliveryConditionOperator	ENUM
130	DeliveryConditionField	ENUM
131	DeliveryConditionCriteria	UNION
132	Weight	OBJECT
133	MethodDefinitionSortKeys	ENUM
134	DeliveryCountryAndZone	OBJECT
135	ProductCollectionSortKeys	ENUM
136	CollectionPublicationConnection	OBJECT
137	CollectionPublicationEdge	OBJECT
138	CollectionPublication	OBJECT
139	CollectionRuleSet	OBJECT
140	CollectionRule	OBJECT
141	CollectionRuleColumn	ENUM
142	CollectionRuleRelation	ENUM
143	NavigationItemV2	OBJECT
144	NavigationItemV2Type	ENUM
145	AppSubscription	OBJECT
146	AppSubscriptionLineItem	OBJECT
147	AppPlanV2	OBJECT
148	AppPricingDetails	UNION
149	AppUsagePricing	OBJECT
150	AppPricingInterval	ENUM
151	AppRecurringPricing	OBJECT
152	AppUsageRecordConnection	OBJECT
153	AppUsageRecordEdge	OBJECT
154	AppUsageRecord	OBJECT
155	AppUsageRecordSortKeys	ENUM
156	AppSubscriptionStatus	ENUM
157	AppPurchaseOneTimeConnection	OBJECT
158	AppPurchaseOneTimeEdge	OBJECT
159	AppPurchaseOneTime	OBJECT
160	AppPurchase	INTERFACE
161	AppPurchaseStatus	ENUM
162	AppTransactionSortKeys	ENUM
163	AppCreditConnection	OBJECT
164	AppCreditEdge	OBJECT
165	AppCredit	OBJECT
166	AppSubscriptionConnection	OBJECT
167	AppSubscriptionEdge	OBJECT
168	AppSubscriptionSortKeys	ENUM
169	MoneyBag	OBJECT
170	Attribute	OBJECT
171	Customer	OBJECT
172	CommentEventSubject	INTERFACE
173	HasEvents	INTERFACE
174	EventConnection	OBJECT
175	EventEdge	OBJECT
176	Event	INTERFACE
177	EventSortKeys	ENUM
178	TaxExemption	ENUM
179	OrderConnection	OBJECT
180	OrderEdge	OBJECT
181	Order	OBJECT
182	ResourceAlert	OBJECT
183	ResourceAlertAction	OBJECT
184	ResourceAlertIcon	ENUM
185	ResourceAlertSeverity	ENUM
186	MailingAddress	OBJECT
187	OrderCancelReason	ENUM
188	CustomerJourney	OBJECT
189	CustomerMoment	INTERFACE
190	CustomerVisit	OBJECT
191	MarketingEvent	OBJECT
192	MarketingTactic	ENUM
193	MarketingChannel	ENUM
194	UTMParameters	OBJECT
195	DiscountApplicationConnection	OBJECT
196	DiscountApplicationEdge	OBJECT
197	DiscountApplication	INTERFACE
198	DiscountApplicationAllocationMethod	ENUM
199	DiscountApplicationTargetSelection	ENUM
200	DiscountApplicationTargetType	ENUM
201	PricingValue	UNION
202	PricingPercentageValue	OBJECT
203	OrderDisplayFinancialStatus	ENUM
204	OrderDisputeSummary	OBJECT
205	DisputeStatus	ENUM
206	DisputeType	ENUM
207	OrderDisplayFulfillmentStatus	ENUM
208	DraftFulfillment	OBJECT
209	LineItem	OBJECT
210	TaxLine	OBJECT
211	DiscountAllocation	OBJECT
212	StaffMemberDefaultImage	ENUM
213	StaffMemberPrivateData	OBJECT
214	StaffMemberPermission	ENUM
215	ActivityConnection	OBJECT
216	ActivityEdge	OBJECT
217	Activity	OBJECT
218	ActivityTopic	ENUM
219	Date	SCALAR
220	RefundLineItem	OBJECT
221	RefundLineItemRefundType	ENUM
222	RefundLineItemRestockType	ENUM
223	FulfillmentLineItem	OBJECT
224	ShippingRefund	OBJECT
225	SuggestedOrderTransaction	OBJECT
226	SuggestedOrderTransactionKind	ENUM
227	OrderTransaction	OBJECT
228	OrderTransactionKind	ENUM
229	OrderTransactionStatus	ENUM
230	OrderTransactionErrorCode	ENUM
231	JSON	SCALAR
232	PaymentMethods	ENUM
233	CurrencySetting	OBJECT
234	AttributeInput	INPUT_OBJECT
235	RefundLineItemInput	INPUT_OBJECT
236	ShippingRefundInput	INPUT_OBJECT
237	OrderTransactionInput	INPUT_OBJECT
238	MailingAddressInput	INPUT_OBJECT
239	Refund	OBJECT
240	OrderTransactionConnection	OBJECT
241	OrderTransactionEdge	OBJECT
242	RefundLineItemConnection	OBJECT
243	RefundLineItemEdge	OBJECT
244	Fulfillment	OBJECT
245	FulfillmentStatus	ENUM
246	FulfillmentDisplayStatus	ENUM
247	FulfillmentTrackingInfo	OBJECT
248	FulfillmentLineItemConnection	OBJECT
249	FulfillmentLineItemEdge	OBJECT
250	PageSize	ENUM
251	ContentDisposition	ENUM
252	ShippingPackageType	ENUM
253	BoxDimensions	OBJECT
254	LengthUnit	ENUM
255	FulfillmentEventConnection	OBJECT
256	FulfillmentEventEdge	OBJECT
257	FulfillmentEvent	OBJECT
258	FulfillmentEventStatus	ENUM
259	FulfillmentEventSortKeys	ENUM
260	FulfillmentEdge	OBJECT
261	LineItemConnection	OBJECT
262	LineItemEdge	OBJECT
263	OrderRiskLevel	ENUM
264	OrderRisk	OBJECT
265	OrderRiskRecommendationResult	ENUM
266	RiskAssessmentResult	ENUM
267	RiskFactSentiment	ENUM
268	FactSortKeys	ENUM
269	FraudProtectionLevel	ENUM
270	ShippingLine	OBJECT
271	SuggestedRefund	OBJECT
272	MoneyInput	INPUT_OBJECT
273	FulfillmentAction	ENUM
274	ShippingRate	OBJECT
275	OrderSortKeys	ENUM
276	CustomerState	ENUM
277	MailingAddressEdge	OBJECT
278	CustomerMarketingOptInLevel	ENUM
279	CollectionRuleConditions	OBJECT
280	DraftOrder	OBJECT
281	DraftOrderAppliedDiscount	OBJECT
282	DraftOrderAppliedDiscountType	ENUM
283	DraftOrderLineItemConnection	OBJECT
284	DraftOrderLineItemEdge	OBJECT
285	DraftOrderLineItem	OBJECT
286	DraftOrderStatus	ENUM
287	PriceRule	OBJECT
288	PriceRuleValidityPeriod	OBJECT
289	PriceRuleCustomerSelection	OBJECT
290	SavedSearch	OBJECT
291	SearchResultType	ENUM
292	SearchFilter	OBJECT
293	CustomerConnection	OBJECT
294	CustomerEdge	OBJECT
295	CustomerSortKeys	ENUM
296	PriceRuleDiscountCodeConnection	OBJECT
297	PriceRuleDiscountCodeEdge	OBJECT
298	PriceRuleDiscountCode	OBJECT
299	DiscountCodeSortKeys	ENUM
300	PriceRuleStatus	ENUM
301	PriceRuleAllocationMethod	ENUM
302	PriceRuleValue	UNION
303	PriceRulePercentValue	OBJECT
304	PriceRuleFixedAmountValue	OBJECT
305	PriceRuleTarget	ENUM
306	PriceRuleItemEntitlements	OBJECT
307	PriceRuleShippingLineEntitlements	OBJECT
308	PriceRuleMoneyRange	OBJECT
309	PriceRuleQuantityRange	OBJECT
310	PriceRuleLineItemPrerequisites	OBJECT
311	PriceRuleEntitlementToPrerequisiteQuantityRatio	OBJECT
312	PriceRulePrerequisiteToEntitlementQuantityRatio	OBJECT
313	PriceRuleShareableUrl	OBJECT
314	PriceRuleShareableUrlTargetType	ENUM
315	PriceRuleTrait	ENUM
316	PriceRuleFeature	ENUM
317	MarketingActivityConnection	OBJECT
318	MarketingActivityEdge	OBJECT
319	MarketingActivity	OBJECT
320	MarketingActivityStatus	ENUM
321	MarketingBudget	OBJECT
322	MarketingBudgetBudgetType	ENUM
323	MarketingPlatform	ENUM
324	MarketingActivityExtensionAppErrors	OBJECT
325	MarketingActivityExtensionAppErrorCode	ENUM
326	MarketingActivitySortKeys	ENUM
327	MarketingEventConnection	OBJECT
328	MarketingEventEdge	OBJECT
329	MarketingEventSortKeys	ENUM
330	LiquidHTML	SCALAR
331	ScriptTag	OBJECT
332	ScriptTagDisplayScope	ENUM
333	Domain	OBJECT
334	Shop	OBJECT
335	ShopAlert	OBJECT
336	ShopAlertAction	OBJECT
337	ResourceLimit	OBJECT
338	OnlineStoreBlogEdge	OBJECT
339	OnlineStoreBlog	OBJECT
340	OnlineStoreArticleEdge	OBJECT
341	OnlineStoreArticle	OBJECT
342	SavedSearchConnection	OBJECT
343	SavedSearchEdge	OBJECT
344	StringConnection	OBJECT
345	StringEdge	OBJECT
346	OnlineStoreArticleTagSort	ENUM
347	OnlineStorePageEdge	OBJECT
348	OnlineStorePage	OBJECT
349	ShopFeatures	OBJECT
350	ShopBranding	ENUM
351	ShopPlan	OBJECT
352	CurrencySettingConnection	OBJECT
353	CurrencySettingEdge	OBJECT
354	ShopCustomerAccountsSetting	ENUM
355	UnitSystem	ENUM
356	CurrencyFormats	OBJECT
357	ShopTagSort	ENUM
358	ProductSortKeys	ENUM
359	PriceRuleConnection	OBJECT
360	PriceRuleEdge	OBJECT
361	PriceRuleSortKeys	ENUM
362	InventoryItemConnection	OBJECT
363	InventoryItemEdge	OBJECT
364	DraftOrderConnection	OBJECT
365	DraftOrderEdge	OBJECT
366	DraftOrderSortKeys	ENUM
367	StorefrontAccessTokenConnection	OBJECT
368	StorefrontAccessTokenEdge	OBJECT
369	StorefrontAccessToken	OBJECT
370	CustomerSavedSearchSortKeys	ENUM
371	AppConnection	OBJECT
372	AppEdge	OBJECT
373	AppsSortKeys	ENUM
374	AppInstallationConnection	OBJECT
375	AppInstallationEdge	OBJECT
376	AppInstallationSortKeys	ENUM
377	AppInstallationCategory	ENUM
378	AppInstallationPrivacy	ENUM
379	ShopImageSortKeys	ENUM
380	PosLinkResourceType	ENUM
381	PosLinkResourceLocation	ENUM
382	ResourceType	ENUM
383	ResourceLocation	ENUM
384	LimitedPendingOrderCount	OBJECT
385	SearchResultConnection	OBJECT
386	SearchResultEdge	OBJECT
387	SearchResult	OBJECT
388	CountriesInShippingZones	OBJECT
389	PaymentSettings	OBJECT
390	DigitalWallet	ENUM
391	ShopResourceLimits	OBJECT
392	ShopTemplateResource	ENUM
393	SearchFilterOptions	OBJECT
394	FilterOption	OBJECT
395	ShopifyPaymentsAccount	OBJECT
396	ShopifyPaymentsPayoutConnection	OBJECT
397	ShopifyPaymentsPayoutEdge	OBJECT
398	ShopifyPaymentsPayout	OBJECT
399	ShopifyPaymentsPayoutStatus	ENUM
400	ShopifyPaymentsPayoutSummary	OBJECT
401	ShopifyPaymentsPayoutTransactionType	ENUM
402	ShopifyPaymentsBankAccount	OBJECT
403	ShopifyPaymentsBankAccountStatus	ENUM
404	ShopifyPaymentsBankAccountConnection	OBJECT
405	ShopifyPaymentsBankAccountEdge	OBJECT
406	ShopifyPaymentsVerification	OBJECT
407	ShopifyPaymentsVerificationStatus	ENUM
408	ShopifyPaymentsVerificationSubject	OBJECT
409	ShopifyPaymentsVerificationDocument	OBJECT
410	ShopifyPaymentsVerificationDocumentType	ENUM
411	ShopifyPaymentsPayoutSchedule	OBJECT
412	ShopifyPaymentsPayoutInterval	ENUM
413	DayOfTheWeek	ENUM
414	ShopifyPaymentsChargeStatementDescriptor	INTERFACE
415	ShopifyPaymentsFraudSettings	OBJECT
416	ShopifyPaymentsNotificationSettings	OBJECT
417	ShopifyPaymentsDisputeConnection	OBJECT
418	ShopifyPaymentsDisputeEdge	OBJECT
419	ShopifyPaymentsDispute	OBJECT
420	ShopifyPaymentsDisputeReasonDetails	OBJECT
421	ShopifyPaymentsDisputeReason	ENUM
422	UnprotectedOrderAction	ENUM
423	ChatEventOriginTag	ENUM
424	TenderTransactionConnection	OBJECT
425	TenderTransactionEdge	OBJECT
426	TenderTransaction	OBJECT
427	TenderTransactionDetails	UNION
428	TenderTransactionCreditCardDetails	OBJECT
429	DeletionEventConnection	OBJECT
430	DeletionEventEdge	OBJECT
431	DeletionEvent	OBJECT
432	DeletionEventSubjectType	ENUM
433	DeletionEventSortKeys	ENUM
434	DiscountAutomaticConnection	OBJECT
435	DiscountAutomaticEdge	OBJECT
436	DiscountAutomatic	UNION
437	DiscountAutomaticBxgy	OBJECT
438	DiscountStatus	ENUM
439	DiscountCustomerGets	OBJECT
440	DiscountCustomerGetsValue	UNION
441	DiscountOnQuantity	OBJECT
442	DiscountQuantity	OBJECT
443	DiscountEffect	UNION
444	DiscountPercentage	OBJECT
